renorm_step,running_lambda
1446,0.873317
1447,0.876453
1448,0.878898
1449,0.879684
1450,0.878307
1451,0.876128
1452,0.873657
1453,0.870086
1454,0.866403
1455,0.864030
1456,0.863341
1457,0.864138
1458,0.866289
1459,0.869592
1460,0.873750
1461,0.878503
1462,0.883678
1463,0.889159
1464,0.894851
1465,0.900632
1466,0.906272
1467,0.911272
1468,0.914611
1469,0.915006
1470,0.912808
1471,0.909234
1472,0.904130
1473,0.898295
1474,0.893011
1475,0.888927
1476,0.885733
1477,0.883144
1478,0.881982
1479,0.883566
1480,0.886612
1481,0.888621
1482,0.888425
1483,0.886725
1484,0.885248
1485,0.883927
1486,0.882139
1487,0.880071
1488,0.878043
1489,0.876124
1490,0.874191
1491,0.872082
1492,0.869902
1493,0.868925
1494,0.870698
1495,0.872887
1496,0.872941
1497,0.871366
1498,0.869940
1499,0.868832
1500,0.867754
1501,0.867000
1502,0.866912
1503,0.867597
1504,0.868966
1505,0.870804
1506,0.872763
1507,0.874311
1508,0.874715
1509,0.873455
1510,0.871543
1511,0.870081
1512,0.867788
1513,0.864860
1514,0.862813
1515,0.862429
1516,0.863566
1517,0.865929
1518,0.869204
1519,0.873065
1520,0.877224
1521,0.881383
1522,0.885110
1523,0.887686
1524,0.888193
1525,0.886603
1526,0.884456
1527,0.881696
1528,0.877946
1529,0.874152
1530,0.871275
1531,0.869570
1532,0.869058
1533,0.869945
1534,0.872322
1535,0.875914
1536,0.880307
1537,0.885189
1538,0.890360
1539,0.895649
1540,0.900802
1541,0.905305
1542,0.908161
1543,0.908234
1544,0.906053
1545,0.902692
1546,0.897943
1547,0.892608
1548,0.887921
1549,0.884398
1550,0.881625
1551,0.879136
1552,0.877191
1553,0.877259
1554,0.879808
1555,0.882370
1556,0.882959
1557,0.881625
1558,0.880044
1559,0.878736
1560,0.877129
1561,0.875329
1562,0.873722
1563,0.872500
1564,0.871660
1565,0.871104
1566,0.870630
1567,0.869872
1568,0.868380
1569,0.866471
1570,0.865982
1571,0.865872
1572,0.864367
1573,0.862794
1574,0.862333
1575,0.862823
1576,0.864091
1577,0.866119
1578,0.868806
1579,0.871976
1580,0.875420
1581,0.878863
1582,0.881876
1583,0.883770
1584,0.883752
1585,0.882041
1586,0.880134
1587,0.877676
1588,0.874317
1589,0.871069
1590,0.868907
1591,0.868125
1592,0.868794
1593,0.870918
1594,0.874235
1595,0.878345
1596,0.882937
1597,0.887809
1598,0.892791
1599,0.897636
1600,0.901858
1601,0.904543
1602,0.904651
1603,0.902661
1604,0.899709
1605,0.895513
1606,0.890676
1607,0.886334
1608,0.883025
1609,0.880431
1610,0.878085
1611,0.875893
1612,0.874658
1613,0.875993
1614,0.879027
1615,0.880998
1616,0.880684
1617,0.879073
1618,0.877558
1619,0.875867
1620,0.873897
1621,0.872118
1622,0.870949
1623,0.870579
1624,0.871055
1625,0.872315
1626,0.874141
1627,0.876135
1628,0.877691
1629,0.878004
1630,0.876651
1631,0.874838
1632,0.873048
1633,0.870307
1634,0.867479
1635,0.865931
1636,0.865938
1637,0.867223
1638,0.869576
1639,0.872781
1640,0.876605
1641,0.880863
1642,0.885421
1643,0.890153
1644,0.894880
1645,0.899265
1646,0.902629
1647,0.903913
1648,0.902703
1649,0.900282
1650,0.896824
1651,0.892339
1652,0.887857
1653,0.884280
1654,0.881621
1655,0.879395
1656,0.877241
1657,0.875142
1658,0.873976
1659,0.875402
1660,0.878204
1661,0.879543
1662,0.878698
1663,0.877116
1664,0.875674
1665,0.874037
1666,0.872398
1667,0.871279
1668,0.871028
1669,0.871742
1670,0.873346
1671,0.875636
1672,0.878312
1673,0.880960
1674,0.882982
1675,0.883569
1676,0.882335
1677,0.880487
1678,0.878445
1679,0.875461
1680,0.872342
1681,0.870311
1682,0.869738
1683,0.870491
1684,0.872449
1685,0.875410
1686,0.879098
1687,0.883286
1688,0.887829
1689,0.892640
1690,0.897657
1691,0.902817
1692,0.908027
1693,0.913097
1694,0.917592
1695,0.920597
1696,0.920955
1697,0.918983
1698,0.915683
1699,0.910992
1700,0.905671
1701,0.900809
1702,0.896988
1703,0.894064
1704,0.892154
1705,0.892311
1706,0.894523
1707,0.896816
1708,0.897655
1709,0.896728
1710,0.895204
1711,0.894191
1712,0.893084
1713,0.891491
1714,0.889628
1715,0.887690
1716,0.885702
1717,0.883759
1718,0.882586
1719,0.883531
1720,0.886015
1721,0.887806
1722,0.887714
1723,0.886278
1724,0.885005
1725,0.883930
1726,0.882529
1727,0.880934
1728,0.879417
1729,0.878049
1730,0.876737
1731,0.875305
1732,0.873573
1733,0.871800
1734,0.871582
1735,0.873092
1736,0.873527
1737,0.872342
1738,0.871084
1739,0.870400
1740,0.870030
1741,0.870056
1742,0.870680
1743,0.871934
1744,0.873696
1745,0.875758
1746,0.877815
1747,0.879413
1748,0.879923
1749,0.878908
1750,0.877248
1751,0.875905
1752,0.873859
1753,0.871220
1754,0.869192
1755,0.868534
1756,0.869277
1757,0.871213
1758,0.874032
1759,0.877393
1760,0.880998
1761,0.884552
1762,0.887638
1763,0.889586
1764,0.889644
1765,0.888087
1766,0.886222
1767,0.883710
1768,0.880425
1769,0.877254
1770,0.874925
1771,0.873595
1772,0.873327
1773,0.874332
1774,0.876638
1775,0.879951
1776,0.883907
1777,0.888263
1778,0.892879
1779,0.897663
1780,0.902509
1781,0.907222
1782,0.911374
1783,0.914084
1784,0.914291
1785,0.912377
1786,0.909263
1787,0.904862
1788,0.899915
1789,0.895473
1790,0.892035
1791,0.889355
1792,0.887364
1793,0.886989
1794,0.888812
1795,0.891168
1796,0.892295
1797,0.891651
1798,0.890189
1799,0.889134
1800,0.888076
1801,0.886601
1802,0.884900
1803,0.883178
1804,0.881442
1805,0.879614
1806,0.877832
1807,0.877087
1808,0.878571
1809,0.880752
1810,0.881476
1811,0.880466
1812,0.879104
1813,0.878102
1814,0.877009
1815,0.875822
1816,0.874834
1817,0.874223
1818,0.873996
1819,0.874056
1820,0.874194
1821,0.874053
1822,0.873165
1823,0.871541
1824,0.870594
1825,0.870179
1826,0.868742
1827,0.867091
1828,0.866469
1829,0.866924
1830,0.868172
1831,0.870077
1832,0.872498
1833,0.875257
1834,0.878143
1835,0.880867
1836,0.882970
1837,0.883796
1838,0.882930
1839,0.881302
1840,0.879701
1841,0.877347
1842,0.874494
1843,0.872123
1844,0.870854
1845,0.870859
1846,0.872191
1847,0.874688
1848,0.877978
1849,0.881708
1850,0.885618
1851,0.889440
1852,0.892753
1853,0.894836
1854,0.894888
1855,0.893291
1856,0.891153
1857,0.888130
1858,0.884475
1859,0.881116
1860,0.878593
1861,0.876787
1862,0.875456
1863,0.874550
1864,0.874128
