t,x,y,z
1.87000,-7.724390,-2.397416,32.042082
1.87500,-7.460613,-2.238740,31.705050
1.88000,-7.202414,-2.098298,31.364034
1.88500,-6.950387,-1.975145,31.020158
1.89000,-6.705050,-1.868309,30.674424
1.89500,-6.466849,-1.776814,30.327722
1.90000,-6.236161,-1.699688,29.980833
1.90500,-6.013295,-1.635974,29.634441
1.91000,-5.798502,-1.584739,29.289141
1.91500,-5.591974,-1.545081,28.945447
1.92000,-5.393851,-1.516138,28.603799
1.92500,-5.204226,-1.497085,28.264572
1.93000,-5.023147,-1.487146,27.928085
1.93500,-4.850623,-1.485590,27.594606
1.94000,-4.686629,-1.491735,27.264357
1.94500,-4.531110,-1.504947,26.937525
1.95000,-4.383981,-1.524641,26.614260
1.95500,-4.245137,-1.550280,26.294688
1.96000,-4.114451,-1.581375,25.978910
1.96500,-3.991779,-1.617483,25.667006
1.97000,-3.876967,-1.658202,25.359042
1.97500,-3.769846,-1.703177,25.055068
1.98000,-3.670240,-1.752091,24.755126
1.98500,-3.577969,-1.804665,24.459247
1.99000,-3.492848,-1.860657,24.167457
1.99500,-3.414688,-1.919859,23.879778
2.00000,-3.343302,-1.982098,23.596226
2.00500,-3.278506,-2.047226,23.316818
2.01000,-3.220114,-2.115129,23.041568
2.01500,-3.167948,-2.185716,22.770490
2.02000,-3.121834,-2.258923,22.503602
2.02500,-3.081602,-2.334705,22.240920
2.03000,-3.047091,-2.413044,21.982464
2.03500,-3.018147,-2.493937,21.728257
2.04000,-2.994623,-2.577404,21.478324
2.04500,-2.976381,-2.663477,21.232696
2.05000,-2.963291,-2.752209,20.991406
2.05500,-2.955234,-2.843664,20.754495
2.06000,-2.952099,-2.937923,20.522006
2.06500,-2.953784,-3.035076,20.293990
2.07000,-2.960199,-3.135227,20.070502
2.07500,-2.971261,-3.238492,19.851607
2.08000,-2.986900,-3.344996,19.637375
2.08500,-3.007052,-3.454872,19.427883
2.09000,-3.031666,-3.568264,19.223218
2.09500,-3.060699,-3.685324,19.023475
2.10000,-3.094119,-3.806209,18.828759
2.10500,-3.131902,-3.931087,18.639183
2.11000,-3.174035,-4.060128,18.454875
2.11500,-3.220512,-4.193511,18.275971
2.12000,-3.271337,-4.331419,18.102620
2.12500,-3.326525,-4.474037,17.934986
2.13000,-3.386097,-4.621558,17.773246
2.13500,-3.450083,-4.774174,17.617590
2.14000,-3.518520,-4.932083,17.468228
2.14500,-3.591456,-5.095482,17.325385
2.15000,-3.668942,-5.264568,17.189304
2.15500,-3.751040,-5.439540,17.060249
2.16000,-3.837815,-5.620592,16.938502
2.16500,-3.929343,-5.807917,16.824369
2.17000,-4.025700,-6.001704,16.718178
2.17500,-4.126972,-6.202132,16.620283
2.18000,-4.233246,-6.409376,16.531062
2.18500,-4.344616,-6.623599,16.450919
2.19000,-4.461177,-6.844951,16.380290
2.19500,-4.583027,-7.073568,16.319636
2.20000,-4.710264,-7.309565,16.269453
2.20500,-4.842990,-7.553040,16.230265
2.21000,-4.981302,-7.804061,16.202630
2.21500,-5.125297,-8.062670,16.187141
2.22000,-5.275070,-8.328875,16.184423
2.22500,-5.430706,-8.602644,16.195136
2.23000,-5.592289,-8.883903,16.219974
2.23500,-5.759890,-9.172528,16.259665
2.24000,-5.933571,-9.468338,16.314970
2.24500,-6.113380,-9.771092,16.386679
2.25000,-6.299350,-10.080477,16.475614
2.25500,-6.491494,-10.396105,16.582620
2.26000,-6.689805,-10.717502,16.708565
2.26500,-6.894249,-11.044100,16.854335
2.27000,-7.104764,-11.375230,17.020824
2.27500,-7.321258,-11.710113,17.208929
2.28000,-7.543600,-12.047851,17.419541
2.28500,-7.771619,-12.387418,17.653537
2.29000,-8.005100,-12.727654,17.911759
2.29500,-8.243777,-13.067257,18.195009
2.30000,-8.487332,-13.404774,18.504029
2.30500,-8.735385,-13.738603,18.839482
2.31000,-8.987495,-14.066982,19.201933
2.31500,-9.243152,-14.387994,19.591826
2.32000,-9.501773,-14.699566,20.009462
2.32500,-9.762699,-14.999476,20.454973
2.33000,-10.025191,-15.285359,20.928293
2.33500,-10.288428,-15.554724,21.429135
2.34000,-10.551504,-15.804966,21.956962
2.34500,-10.813430,-16.033396,22.510957
2.35000,-11.073129,-16.237262,23.090004
2.35500,-11.329444,-16.413787,23.692659
2.36000,-11.581138,-16.560207,24.317136
2.36500,-11.826902,-16.673815,24.961286
2.37000,-12.065361,-16.752011,25.622597
2.37500,-12.295082,-16.792356,26.298185
2.38000,-12.514590,-16.792629,26.984805
2.38500,-12.722380,-16.750881,27.678867
2.39000,-12.916933,-16.665499,28.376459
2.39500,-13.096735,-16.535261,29.073392
2.40000,-13.260296,-16.359386,29.765239
2.40500,-13.406173,-16.137579,30.447398
2.41000,-13.532992,-15.870076,31.115159
2.41500,-13.639471,-15.557661,31.763777
2.42000,-13.724443,-15.201686,32.388558
2.42500,-13.786877,-14.804072,32.984939
2.43000,-13.825900,-14.367292,33.548576
2.43500,-13.840815,-13.894341,34.075429
2.44000,-13.831117,-13.388692,34.561839
2.44500,-13.796507,-12.854240,35.004598
2.45000,-13.736898,-12.295225,35.401010
2.45500,-13.652420,-11.716158,35.748937
2.46000,-13.543424,-11.121731,36.046828
2.46500,-13.410474,-10.516725,36.293737
2.47000,-13.254339,-9.905919,36.489322
2.47500,-13.075984,-9.294002,36.633829
2.48000,-12.876550,-8.685489,36.728058
2.48500,-12.657336,-8.084649,36.773324
2.49000,-12.419781,-7.495435,36.771399
2.49500,-12.165435,-6.921438,36.724452
2.50000,-11.895941,-6.365845,36.634984
2.50500,-11.613003,-5.831413,36.505753
2.51000,-11.318368,-5.320454,36.339707
2.51500,-11.013800,-4.834839,36.139920
2.52000,-10.701055,-4.375998,35.909524
2.52500,-10.381865,-3.944947,35.651651
2.53000,-10.057917,-3.542310,35.369388
2.53500,-9.730835,-3.168349,35.065729
2.54000,-9.402171,-2.823001,34.743540
2.54500,-9.073391,-2.505919,34.405534
2.55000,-8.745865,-2.216507,34.054246
2.55500,-8.420861,-1.953959,33.692023
2.56000,-8.099544,-1.717300,33.321015
2.56500,-7.782971,-1.505419,32.943173
2.57000,-7.472087,-1.317102,32.560249
2.57500,-7.167735,-1.151064,32.173804
2.58000,-6.870648,-1.005975,31.785216
2.58500,-6.581462,-0.880483,31.395689
2.59000,-6.300714,-0.773235,31.006268
2.59500,-6.028848,-0.682893,30.617850
2.60000,-5.766224,-0.608151,30.231196
2.60500,-5.513121,-0.547742,29.846947
2.61000,-5.269743,-0.500453,29.465636
2.61500,-5.036227,-0.465127,29.087700
2.62000,-4.812648,-0.440669,28.713494
2.62500,-4.599027,-0.426051,28.343298
2.63000,-4.395333,-0.420311,27.977330
2.63500,-4.201493,-0.422558,27.615757
2.64000,-4.017396,-0.431966,27.258697
2.64500,-3.842897,-0.447777,26.906234
2.65000,-3.677822,-0.469300,26.558417
2.65500,-3.521976,-0.495904,26.215274
2.66000,-3.375140,-0.527018,25.876808
2.66500,-3.237084,-0.562133,25.543007
2.67000,-3.107562,-0.600788,25.213848
2.67500,-2.986321,-0.642579,24.889295
2.68000,-2.873100,-0.687146,24.569308
2.68500,-2.767637,-0.734177,24.253840
2.69000,-2.669666,-0.783401,23.942841
2.69500,-2.578923,-0.834585,23.636261
2.70000,-2.495145,-0.887533,23.334047
2.70500,-2.418076,-0.942083,23.036148
2.71000,-2.347463,-0.998103,22.742513
2.71500,-2.283060,-1.055489,22.453095
2.72000,-2.224628,-1.114165,22.167847
2.72500,-2.171938,-1.174078,21.886724
2.73000,-2.124770,-1.235194,21.609688
2.73500,-2.082912,-1.297504,21.336699
2.74000,-2.046164,-1.361015,21.067724
2.74500,-2.014336,-1.425751,20.802732
2.75000,-1.987248,-1.491750,20.541696
2.75500,-1.964732,-1.559068,20.284591
2.76000,-1.946631,-1.627771,20.031399
2.76500,-1.932799,-1.697938,19.782102
2.77000,-1.923102,-1.769659,19.536690
2.77500,-1.917416,-1.843035,19.295154
2.78000,-1.915628,-1.918175,19.057491
2.78500,-1.917638,-1.995199,18.823701
2.79000,-1.923356,-2.074235,18.593789
2.79500,-1.932702,-2.155418,18.367765
2.80000,-1.945607,-2.238892,18.145645
2.80500,-1.962013,-2.324808,17.927449
2.81000,-1.981872,-2.413323,17.713203
2.81500,-2.005147,-2.504602,17.502938
2.82000,-2.031810,-2.598817,17.296693
2.82500,-2.061843,-2.696145,17.094512
2.83000,-2.095239,-2.796772,16.896448
2.83500,-2.131999,-2.900888,16.702560
2.84000,-2.172133,-3.008691,16.512917
2.84500,-2.215663,-3.120385,16.327596
2.85000,-2.262617,-3.236179,16.146682
2.85500,-2.313033,-3.356291,15.970274
2.86000,-2.366960,-3.480943,15.798478
2.86500,-2.424452,-3.610364,15.631416
2.87000,-2.485574,-3.744789,15.469219
2.87500,-2.550399,-3.884460,15.312034
2.88000,-2.619008,-4.029622,15.160024
2.88500,-2.691491,-4.180528,15.013365
2.89000,-2.767946,-4.337437,14.872254
2.89500,-2.848477,-4.500611,14.736904
2.90000,-2.933198,-4.670317,14.607550
